Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
0.0	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	0.0
1.129	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	4.755
2.097	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	6.152
8.226	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	7.247000000000001
14.839	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	8.621
22.903000000000002	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	11.388
30.0	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	14.16
36.935	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	16.652
45.806000000000004	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	23.897
48.871	1	45.14	-429981997	55.93	5.3	0.0	5000	46000	39	0.63	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	3.0	28.085
