Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
0.0	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	0.0
0.017	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	45.185
0.252	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	68.889
1.0	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	78.51899999999999
2.008	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	95.556
3.0	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	96.667
5.024	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	97.385
6.0120000000000005	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	98.76899999999999
7.03	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.23100000000001
8.017000000000001	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
9.993	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
11.01	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
12.027000000000001	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
13.015	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
14.032	2	86.76	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
